Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Min Exposure,Projected Ownership,Expected Success,Expected Failure,Expected Value,Min Deviation,Max Deviation
44002-15755,PF,Anthony,Anthony Davis,Davis,52.51600098,50,10800,LAL@GS,LAL,GS,GTD,Elbow,,0.7,0,0.4,0.1,0.1,1.11,0.3,0.5
44002-9488,SF,LeBron,LeBron James,James,51.52909268,55,10400,LAL@GS,LAL,GS,O,Groin,,0.7,0,0.3,0.2,0.2,1.12,0.3,0.5
44002-49111,C,Joel,Joel Embiid,Embiid,45.37954434,44,10200,NY@PHI,PHI,NY,GTD,Shoulder,,0.7,0,0.6,0.3,0.3,1.13,0.3,0.5
44002-12363,C,Hassan,Hassan Whiteside,Whiteside,43.15185095,54,9500,POR@IND,POR,IND,,,,0.7,0,0.2,0.4,0.4,1.14,0.3,0.5
44002-20848,PG,Damian,Damian Lillard,Lillard,47.62037037,54,9000,POR@IND,POR,IND,O,Groin,,0.7,0,0.5,0.5,0.5,1.15,0.3,0.5
44002-19067,SG,CJ,CJ McCollum,McCollum,35.14363681,55,8800,POR@IND,POR,IND,,,,0.7,0,0.4,0.6,0.6,1.16,0.3,0.5
44002-66115,PG,Ben,Ben Simmons,Simmons,42.95090998,55,8500,NY@PHI,PHI,NY,O,Back,,0.7,0,0.3,0.7,0.7,1.17,0.3,0.5
44002-59358,PF,Domantas,Domantas Sabonis,Sabonis,41.06785801,56,8400,POR@IND,IND,POR,,,,0.7,0,0.6,0.8,0.8,1.18,0.3,0.5
44002-80810,PG,De'Aaron,De'Aaron Fox,Fox,37.80256535,39,7500,SAC@OKC,SAC,OKC,,,,0.7,0,0.2,0.9,0.9,1.19,0.3,0.5
44002-9623,PG,Chris,Chris Paul,Paul,36.46551724,58,7400,SAC@OKC,OKC,SAC,,,,0.7,0,0.5,0.1,0.1,1.2,0.3,0.5
44002-49116,SF,Andrew,Andrew Wiggins,Wiggins,36.10416667,48,7400,LAL@GS,GS,LAL,,,,0.7,0,0.4,0.2,0.2,1.21,0.3,0.5
44002-42669,PF,Julius,Julius Randle,Randle,35.83571516,56,7300,NY@PHI,NY,PHI,,,,0.7,0,0.3,0.3,0.3,1.22,0.3,0.5
44002-84680,SG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,35.3220339,59,7200,SAC@OKC,OKC,SAC,,,,0.7,0,0.6,0.4,0.4,1.23,0.3,0.5
44002-19138,PG,Elfrid,Elfrid Payton,Payton,29.76216084,37,7100,NY@PHI,NY,PHI,,,,0.7,0,0.2,0.5,0.5,1.24,0.3,0.5
44002-14518,SF,Tobias,Tobias Harris,Harris,34.07457668,59,7000,NY@PHI,PHI,NY,,,,0.7,0,0.5,0.6,0.6,1.25,0.3,0.5
44002-23169,C,Steven,Steven Adams,Adams,30.84615385,52,6900,SAC@OKC,OKC,SAC,,,,0.7,0,0.4,0.7,0.7,1.26,0.3,0.5
44002-67707,C,Marquese,Marquese Chriss,Chriss,22.1115394,52,6100,LAL@GS,GS,LAL,,,,0.7,0,0.3,0.8,0.8,1.27,0.3,0.5
44002-58253,C,Myles,Myles Turner,Turner,28.08749898,48,6000,POR@IND,IND,POR,,,,0.7,0,0.6,0.9,0.9,1.28,0.3,0.5
44002-9508,SF,Carmelo,Carmelo Anthony,Anthony,27.55116166,43,5900,POR@IND,POR,IND,,,,0.7,0,0.2,0.1,0.1,1.29,0.3,0.5
44002-23665,SG,Buddy,Buddy Hield,Hield,32.00350792,57,5900,SAC@OKC,SAC,OKC,,,,0.7,0,0.5,0.2,0.2,1.3,0.3,0.5
44002-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,32.93636253,44,5900,POR@IND,IND,POR,,,,0.7,0,0.4,0.3,0.3,1.31,0.3,0.5
44002-18376,SG,Damion,Damion Lee,Lee,23.9309518,42,5800,LAL@GS,GS,LAL,,,,0.7,0,0.3,0.4,0.4,1.32,0.3,0.5
44002-15860,PF,Draymond,Draymond Green,Green,29.33333333,42,5800,LAL@GS,GS,LAL,GTD,Pelvis,,0.7,0,0.6,0.5,0.5,1.33,0.3,0.5
44002-9637,SF,Danilo,Danilo Gallinari,Gallinari,30.07199951,50,5700,SAC@OKC,OKC,SAC,,,,0.7,0,0.2,0.6,0.6,1.34,0.3,0.5
44002-23120,SF,T.J.,T.J. Warren,Warren,28.91818182,55,5600,POR@IND,IND,POR,,,,0.7,0,0.5,0.7,0.7,1.35,0.3,0.5
44002-40201,SG,Dennis,Dennis Schroder,Schroder,29.82280745,57,5500,SAC@OKC,OKC,SAC,,,,0.7,0,0.4,0.8,0.8,1.36,0.3,0.5
44002-84709,C,Mitchell,Mitchell Robinson,Robinson,26.28888844,54,5400,NY@PHI,NY,PHI,,,,0.7,0,0.3,0.9,0.9,1.37,0.3,0.5
